"filename", "language", "JSON", "JavaScript", "Markdown", "SCSS", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\sections\_headers.scss", "SCSS", 0, 0, 0, 163, 0, 0, 0, 0, 12, 175
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\sections\_pricing.scss", "SCSS", 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\sections\_projects.scss", "SCSS", 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\sections\_teams.scss", "SCSS", 0, 0, 0, 53, 0, 0, 0, 0, 2, 55
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\sections\_testimonials.scss", "SCSS", 0, 0, 0, 190, 0, 0, 0, 1, 4, 195
"d:\programming\Project_1\Front-end\src\assets\scss\react\paper-kit\_dropdown.scss", "SCSS", 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"d:\programming\Project_1\Front-end\src\assets\scss\react\paper-kit\_examples.scss", "SCSS", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\programming\Project_1\Front-end\src\assets\scss\react\paper-kit\_fileupload.scss", "SCSS", 0, 0, 0, 122, 0, 0, 0, 0, 4, 126
"d:\programming\Project_1\Front-end\src\assets\scss\react\paper-kit\_inputs.scss", "SCSS", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\programming\Project_1\Front-end\src\assets\scss\react\paper-kit\_media.scss", "SCSS", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\programming\Project_1\Front-end\src\assets\scss\react\paper-kit\_navbar-extend.scss", "SCSS", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\programming\Project_1\Front-end\src\assets\scss\react\paper-kit\_navbars.scss", "SCSS", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\programming\Project_1\Front-end\src\assets\scss\react\paper-kit\_responsive.scss", "SCSS", 0, 0, 0, 73, 0, 0, 0, 0, 1, 74
"d:\programming\Project_1\Front-end\src\assets\scss\react\paper-kit\_tooltips-and-popovers.scss", "SCSS", 0, 0, 0, 46, 0, 0, 0, 0, 1, 47
"d:\programming\Project_1\Front-end\src\assets\scss\react\plugins\_plugin-headroom.scss", "SCSS", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\programming\Project_1\Front-end\src\assets\scss\react\plugins\_plugin-nouislider.scss", "SCSS", 0, 0, 0, 234, 0, 0, 0, 41, 1, 276
"d:\programming\Project_1\Front-end\src\assets\scss\react\plugins\_plugin-react-bootstrap-switch.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\programming\Project_1\Front-end\src\assets\scss\react\plugins\_plugin-react-datetime.scss", "SCSS", 0, 0, 0, 330, 0, 0, 0, 3, 29, 362
"d:\programming\Project_1\Front-end\src\assets\scss\react\plugins\_plugin-react-photoswipe.scss", "SCSS", 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"d:\programming\Project_1\Front-end\src\assets\scss\react\plugins\_plugin-react-select.scss", "SCSS", 0, 0, 0, 354, 0, 0, 0, 10, 6, 370
"d:\programming\Project_1\Front-end\src\assets\scss\react\plugins\_plugin-react-tagsinput.scss", "SCSS", 0, 0, 0, 66, 0, 0, 0, 1, 11, 78
"d:\programming\Project_1\Front-end\src\assets\scss\react\react-differences.scss", "SCSS", 0, 0, 0, 16, 0, 0, 0, 2, 1, 19
"d:\programming\Project_1\Front-end\src\components\CustomUpload\ImageUpload.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 7, 6, 87
"d:\programming\Project_1\Front-end\src\components\Footers\FooterAboutUs.js", "JavaScript", 0, 230, 0, 0, 0, 0, 0, 2, 4, 236
"d:\programming\Project_1\Front-end\src\components\Footers\FooterBlack.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 3, 5, 59
"d:\programming\Project_1\Front-end\src\components\Footers\FooterEcommerce.js", "JavaScript", 0, 128, 0, 0, 0, 0, 0, 2, 5, 135
"d:\programming\Project_1\Front-end\src\components\Footers\FooterGray.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 3, 5, 59
"d:\programming\Project_1\Front-end\src\components\Footers\FooterWhite.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 3, 5, 59
